ST,STATE,ST_ABBR,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
06,California,CA,90001,ZCTA5 90001,3.280098266738,57652,2615,14157,556,13597,578,21564,1904,2676,460,6073,508,17540,1211,10459,1209,4475,501,17012,1234,5587,691,1297,220,14266,955,57279,2617,644,153,104,69,3980,360,1262,189,144,51,37.5,2.8,10.0,1.5,44.7,3.2,51.2,2.8,18.1,1.8,7.8,0.8,29.5,1.4,9.7,1.0,9.6,1.6,26.7,1.3,99.4,0.5,4.5,1.1,0.7,0.5,29.3,2.3,9.3,1.4,0.2,0.1,0.8681,0.8337,0.9218,0.9824,0.9616,4.5676,0.9871,0.0844,0.9065,0.3282,0.8859,0.966,3.171,0.8586,0.9909,0.9909,0.9909,0.4453,0.3335,0.9826,0.8476,0.2663,2.8753,0.6483,11.6048,0.9468,0,0,1,1,1,3,0,1,0,0,1,2,1,1,0,0,1,0,0,1,7,36196,1741,228,3998,548,52642,2544,289,141,24,38,13,22,253,174,60,66,12.8,1.7,6.9,0.9,91.3,1.0,0.5,0.2,0.0,0.1,0.0,0.1,0.4,0.3,0.1,0.1
06,California,CA,90002,ZCTA5 90002,2.992544555116,53108,2472,13639,457,13013,474,19708,1443,2793,377,6049,531,14913,971,7892,888,4369,426,15282,1173,6656,602,1732,297,10431,840,52908,2473,1071,235,96,64,2999,385,1651,253,200,74,37.3,2.1,11.3,1.5,46.5,3.7,47.9,2.7,14.9,1.5,8.2,0.9,28.8,1.4,12.5,1.2,13.3,2.2,21.0,1.4,99.6,0.4,7.8,1.7,0.7,0.5,23.0,2.8,12.7,2.0,0.4,0.1,0.8664,0.882,0.9374,0.9744,0.9324,4.5926,0.9901,0.0912,0.8918,0.6082,0.9658,0.9337,3.4907,0.9554,0.9926,0.9926,0.9926,0.5576,0.3335,0.9612,0.9073,0.349,3.1086,0.7503,12.1845,0.9784,0,0,1,1,1,3,0,0,0,1,1,2,1,1,0,0,1,1,0,2,8,26317,1999,297,8096,1074,43766,2426,471,323,130,145,21,39,335,138,89,78,15.4,2.3,15.2,2.0,82.4,2.0,0.9,0.6,0.2,0.3,0.0,0.1,0.6,0.3,0.2,0.1
06,California,CA,90003,ZCTA5 90003,3.625299709674,75024,3354,18703,631,17936,644,32614,2792,3133,501,8759,668,20854,1364,12294,923,5526,721,23588,1773,8696,911,2844,402,16975,1219,74670,3355,1667,287,32,34,4238,397,2660,304,541,102,43.8,3.2,9.5,1.5,48.8,3.3,47.9,2.1,16.4,1.2,7.4,0.9,31.4,1.3,11.6,1.1,15.9,2.2,24.5,1.4,99.5,0.5,8.9,1.5,0.2,0.2,23.6,2.0,14.8,1.7,0.7,0.1,0.9268,0.8142,0.9519,0.9744,0.9485,4.6158,0.9924,0.0765,0.9411,0.5218,0.978,0.9569,3.4743,0.9513,0.9921,0.9921,0.9921,0.5903,0.2241,0.9664,0.9316,0.4572,3.1696,0.7833,12.2518,0.9819,1,0,1,1,1,4,0,1,0,1,1,3,1,1,0,0,1,1,0,2,10,40643,2120,313,12121,1361,61179,3000,291,208,89,95,0,31,416,228,574,576,11.8,1.7,16.2,1.7,81.5,1.8,0.4,0.3,0.1,0.1,0.0,0.1,0.6,0.3,0.8,0.8
06,California,CA,90004,ZCTA5 90004,3.0507718255319998,58833,2270,25617,716,23047,801,18676,1494,2534,466,11252,784,9647,666,9082,957,7034,629,10842,992,5019,521,1373,253,11863,837,46725,2529,13273,747,57,41,4250,415,3895,360,916,105,31.9,2.2,7.4,1.3,48.8,2.9,22.9,1.5,15.5,1.5,12.0,1.1,18.4,1.3,8.5,0.9,6.0,1.1,21.3,1.3,79.4,3.0,51.8,2.5,0.2,0.2,18.5,1.7,16.9,1.4,1.6,0.2,0.8001,0.6513,0.9519,0.8047,0.9427,4.1507,0.9398,0.2629,0.3677,0.2079,0.6587,0.9371,2.4343,0.4368,0.7972,0.7972,0.7972,0.9587,0.2241,0.9305,0.9496,0.6782,3.7411,0.9641,11.1233,0.9,0,0,1,0,1,2,0,0,0,0,1,1,0,0,1,0,1,1,0,3,6,38673,2409,354,2469,502,27410,1558,14437,1314,34,37,68,71,2027,472,280,174,10.5,1.5,4.2,0.8,46.6,2.2,24.5,2.0,0.1,0.1,0.1,0.1,3.4,0.8,0.5,0.3
06,California,CA,90005,ZCTA5 90005,1.179831958704,37754,2108,18650,645,16607,648,14369,1602,1034,223,8747,695,8119,902,7993,930,4631,518,6565,950,3062,444,758,198,10832,1007,33935,2160,15260,757,39,43,3854,433,4734,529,532,64,38.4,3.7,4.7,1.0,52.7,3.6,29.4,2.5,21.2,2.0,12.3,1.3,17.4,1.9,8.1,1.1,4.6,1.2,30.1,2.3,89.9,2.7,81.9,2.9,0.2,0.2,23.2,2.4,28.5,2.8,1.4,0.2,0.8773,0.3124,0.9699,0.8734,0.9765,4.0095,0.9082,0.2788,0.3173,0.1724,0.5127,0.9813,2.2625,0.3308,0.9054,0.9054,0.9054,0.9845,0.2241,0.9629,0.9803,0.6459,3.7977,0.978,10.9751,0.8825,0,0,1,0,1,2,0,0,0,0,1,1,1,1,1,0,1,1,0,3,7,33315,2502,371,1878,398,18603,1853,12252,1066,103,105,14,16,1042,317,43,36,15.1,2.1,5.0,1.1,49.3,3.1,32.5,2.3,0.3,0.3,0.0,0.1,2.8,0.8,0.1,0.1
06,California,CA,90006,ZCTA5 90006,1.933690708276,56628,2531,21251,630,19100,653,22417,1810,1684,322,9738,651,15155,1093,13621,1278,6958,689,11210,1009,4895,528,1604,287,19054,1174,53717,2559,12007,599,167,224,6410,499,4517,395,1402,95,40.2,2.7,5.6,1.0,51.0,2.9,38.2,2.0,24.3,1.9,12.3,1.0,19.8,1.3,8.7,0.9,8.4,1.5,35.2,1.5,94.9,1.6,56.5,2.3,0.8,1.0,33.6,2.3,23.6,1.9,2.5,0.1,0.8952,0.4505,0.9647,0.9392,0.984,4.2336,0.9556,0.2788,0.4504,0.2291,0.8326,0.9915,2.7824,0.6541,0.9524,0.9524,0.9524,0.9673,0.3421,0.9907,0.9722,0.7864,4.0587,0.9977,12.0271,0.9708,0,0,1,1,1,3,0,0,0,0,1,1,1,1,1,0,1,1,0,3,8,34463,3676,500,1619,309,41030,2342,10237,956,200,156,107,138,499,148,25,25,19.2,2.4,2.9,0.5,72.5,1.9,18.1,1.6,0.4,0.3,0.2,0.2,0.9,0.3,0.0,0.1
06,California,CA,90007,ZCTA5 90007,2.430131007326,41004,1837,13936,511,12520,483,19071,1290,2616,556,6894,550,7637,730,5477,645,3369,362,5377,673,4436,545,956,212,6712,596,34496,2017,5740,396,6,9,2451,290,3471,376,5185,638,52.4,2.6,12.5,2.4,55.1,3.8,36.7,2.7,13.4,1.5,8.2,0.8,13.1,1.4,10.8,1.2,7.6,1.7,16.9,1.3,84.1,3.2,41.2,2.4,0.0,0.1,19.6,2.2,27.7,2.9,12.6,1.4,0.9556,0.9068,0.9762,0.9319,0.9038,4.6743,0.9953,0.0912,0.1836,0.4433,0.7891,0.8941,2.4013,0.4154,0.8459,0.8459,0.8459,0.9393,0.0,0.9409,0.9797,0.9354,3.7953,0.9774,11.7168,0.9538,1,1,1,1,1,5,0,0,0,0,0,0,0,0,1,0,1,1,1,4,9,54399,2338,274,3310,605,22109,1394,7576,824,29,27,30,32,1299,300,143,108,18.7,2.0,8.1,1.4,53.9,2.3,18.5,1.9,0.1,0.1,0.1,0.1,3.2,0.7,0.3,0.3
06,California,CA,90008,ZCTA5 90008,2.893368078784,33076,2098,16112,766,14694,745,9029,1427,1580,329,6972,747,3647,585,2213,527,5858,701,5777,816,5294,785,859,247,1641,439,31209,2155,5525,579,0,28,1041,291,2169,441,125,20,27.4,4.0,8.9,1.8,47.4,4.5,15.0,2.1,6.7,1.5,17.7,2.0,17.5,2.0,16.0,2.1,5.8,1.7,5.2,1.4,94.4,2.6,34.3,3.2,0.0,0.2,7.0,1.9,14.8,2.8,0.4,0.1,0.7281,0.7825,0.9438,0.6593,0.5905,3.7042,0.8386,0.5705,0.3229,0.7904,0.6408,0.5626,2.8872,0.7016,0.9518,0.9518,0.9518,0.9117,0.0,0.6483,0.9316,0.349,2.8406,0.6327,10.3838,0.8175,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,2,4,19338,2230,355,20566,1878,8702,1228,976,341,55,51,15,95,746,240,149,104,15.2,2.4,62.2,3.5,26.3,3.2,3.0,1.0,0.2,0.2,0.0,0.3,2.3,0.8,0.5,0.3
06,California,CA,90010,ZCTA5 90010,0.390474991252,4185,660,2913,293,2381,289,679,279,80,55,811,193,110,61,526,198,525,156,180,113,339,148,0,18,454,135,3485,704,2721,288,0,13,268,113,440,146,11,7,16.2,6.2,2.9,2.0,34.1,7.0,3.2,1.8,12.6,4.3,12.5,3.8,4.3,2.5,8.1,3.2,0.0,0.8,11.1,2.8,83.3,10.5,93.4,3.1,0.0,1.4,11.2,4.5,18.5,5.6,0.3,0.2,0.4378,0.1519,0.7184,0.1732,0.89,2.3713,0.4667,0.2935,0.0833,0.1724,0.0,0.7892,1.3384,0.0585,0.8414,0.8414,0.8414,0.9943,0.0,0.8001,0.9548,0.3088,3.058,0.7283,7.6091,0.4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,33521,100,69,208,122,329,166,2775,480,0,13,69,100,66,57,38,36,4.2,2.8,5.0,2.8,7.9,3.7,66.3,6.2,0.0,0.9,1.6,2.4,1.6,1.3,0.9,0.8
06,California,CA,90011,ZCTA5 90011,4.288976229004,106042,3178,25420,729,24399,713,47966,2422,5419,570,12807,802,35364,1667,19344,1298,7503,739,30173,1355,10933,902,2703,339,31293,1789,105241,3194,2240,317,40,50,7799,556,3217,399,394,38,45.6,1.9,10.5,1.0,52.5,2.9,56.3,1.8,18.3,1.2,7.1,0.6,28.5,0.9,10.3,0.8,11.1,1.4,31.5,1.5,99.2,0.5,8.8,1.2,0.2,0.2,31.9,2.1,13.2,1.6,0.4,0.0,0.9349,0.8527,0.9687,0.9915,0.9633,4.7111,0.9982,0.0708,0.8839,0.386,0.9276,0.9864,3.2547,0.8841,0.9887,0.9887,0.9887,0.5862,0.2241,0.9884,0.9148,0.349,3.0625,0.7306,12.017,0.9702,1,0,1,1,1,4,0,0,0,1,1,2,1,1,0,0,1,1,0,2,9,62625,4673,564,5758,1209,97669,3115,651,353,66,45,84,66,798,367,215,132,19.2,2.2,5.4,1.1,92.1,1.2,0.6,0.3,0.1,0.1,0.1,0.1,0.8,0.3,0.2,0.1
